value,frequency,weight
"code?","15","22012"
"prompt","8","21944"
"kubernetes","22","21943"
"Member","6","21912"
"appear","14","21888"
"dropdown","22","21886"
"logging","23","21862"
"tried","12","21851"
"mobile","19","21811"
"names""","2","21799"
"executed","9","21796"
"whole","5","21776"
"then","24","21728"
"empty","23","21726"
"own","15","21723"
"(","17","21681"
"zero-day","1","21608"
"Logback","1","21608"
"kernel","15","21590"
"theme","20","21589"
"40.74.28.9","1","21570"
"offer:","1","21570"
"negotiate","1","21570"
"Their","1","21570"
"22:","1","21570"
"ssh-rsa","1","21570"
"Entity","15","21531"
"Requirement","1","21517"
"Workbench?","1","21517"
"authorization","10","21494"
"now","14","21475"
"Realm""","2","21467"
"realm=""Artifactory","2","21467"
"Redux","23","21442"
"contains","19","21440"
"reload","20","21437"
"zone","8","21399"
"31","13","21398"
"Parsing","10","21379"
"Functions","10","21357"
"issue?","8","21331"
"TypeORM","19","21316"
"signature","26","21251"
"dataframe","21","21249"
"mount","13","21230"
"policy","22","21230"
"video","25","21216"
"Bundler.transformFile","1","21213"
"still","20","21138"
"CVE-2021-44228?","3","21137"
"""valid","1","21088"
"SKLearn","1","21088"
"Solidity","20","21088"
"Task","16","21073"
"production","22","21059"
"returned","25","21052"
"BI","19","20986"
"'filter')","4","20985"
"AAPT:","7","20978"
"selected","29","20960"
"web3","16","20944"
"executing","16","20936"
"operable","14","20896"
"V13","15","20866"
"prefer","2","20864"
"'build.gradle'","2","20864"
"optional","20","20849"
"Asp.net","3","20848"
"(does","2","20831"
"fatal:","10","20822"
"Script","17","20797"
"declared","17","20776"
"Your","11","20723"
"Dart","6","20710"
"'unsupported',","1","20698"
"routines',","1","20698"
"'digital","1","20698"
"'ERR_OSSL_EVP_UNSUPPORTED'","1","20698"
"vscode","21","20692"
"IOS","14","20684"
"useHref()","2","20682"
"Pipeline","17","20682"
"require('node-fetch')","1","20665"
"python?","20","20651"
"Fatal","18","20635"
"hide","20","20614"
"times","17","20589"
"ReactJS","18","20563"
"Go","20","20561"
"'Mapping'","1","20552"
"To","21","20514"
"useNavigate()","5","20503"
"Ignoring","7","20502"
"tasks","8","20481"
"User","19","20468"
"Upload","15","20453"
"stop","19","20447"
"CPU","10","20445"
"dom","8","20442"
"stack","24","20412"
"cause","14","20410"
"Loading","19","20353"
"switch","10","20336"
"machine","20","20319"
"""crypt","1","20299"
"Pgadmin4","1","20299"
"Rejection","10","20293"
"verification","13","20284"
"uninstall","9","20255"
"giving","24","20248"
"FATAL:","6","20239"
"""npm","8","20236"
"problem?","8","20179"
"Nginx","22","20168"
"fonts","8","20166"
"Browser","8","20162"
"'string'","12","20155"
"'MutableMapping'","4","20155"
"365","13","20154"
"JavaScript's","1","20148"
"parseInt(0.0000005)","1","20148"
"""5""?","1","20148"
"Code?","5","20089"
"conda","8","20072"
"Program.cs","4","20029"
"pages","10","19967"
"auto","18","19931"
"Deprecated","3","19919"
"range","20","19902"
"changing","20","19868"
"received","15","19858"
"establish","12","19845"
"receiver","6","19821"
"xcodebuild:","2","19814"
"removed","10","19803"
"""react""","3","19758"
"conflicted","3","19758"
"proxy","21","19746"
"Open","17","19738"
"action","24","19731"
"PyCharm","9","19722"
"embedded","8","19719"
"redirect_uri_mismatch","3","19713"
"'url'","2","19671"
"apps","13","19661"
"calls","19","19660"
"Matplotlib","9","19634"
"launching","8","19633"
"Symfony","19","19615"
"implemented","11","19605"
"javascript","21","19585"
"Passing","16","19585"
"matplotlib","10","19556"
"manifest","12","19544"
"'swiper/react'","2","19527"
"POST","16","19521"
"what's","4","19505"
"migrate","12","19494"
"long","17","19489"
"passing","14","19459"
"failed.","9","19448"
"'@emotion/react'","3","19432"
"buttons","17","19429"
"directive","13","19419"
"large","16","19402"
"Component","20","19395"
"Problems","18","19384"
"destinations","2","19372"
"yet","4","19369"
"CompileSwiftSources","3","19365"
"Developer","6","19322"
"end","20","19314"
"Write","11","19305"
"cast","21","19301"
"appsettings.json","4","19226"
"Rust","14","19219"
"Docker:","8","19211"
"Sur","13","19200"
"Timeout","13","19197"
"group","25","19193"
"apple","9","19188"
"instead.""","2","19163"
"unsupported","11","19114"
"'django.conf.urls'","1","19072"
"R","19","19055"
"couldn’t","3","18996"
"completed.","3","18996"
"registered","15","18988"
"next-auth","6","18987"
"'keras.optimizers'","2","18968"
"'firebase'","5","18962"
"*","12","18940"
"Storybook","15","18908"
"jupyter","15","18881"
"cluster","22","18874"
"One","10","18855"
")","16","18852"
"peer","7","18832"
"help","16","18785"
"NOT","12","18769"
"'Children'","1","18765"
"restart","18","18747"
"Log4J","7","18745"
"'play-services-location/maven-metadata.xml'.","1","18735"
"vue","19","18726"
"'prototype')","2","18704"
"getServerSideProps","8","18663"
"android:exported","6","18661"
"smart","17","18650"
"Policy","15","18648"
"uploaded","6","18631"
"GitHub,","1","18626"
"""Please","1","18626"
"fix?","6","18600"
"control","23","18599"
"domain","8","18578"
"stopped","9","18576"
"mapping","12","18575"
"PyTorch","15","18573"
"'String'","11","18561"
"matches","19","18557"
"shortcut","7","18527"
"Big","13","18513"
"violation","5","18505"
"callback","10","18484"
"backend","22","18482"
"Send","16","18439"
"redux","22","18427"
"services","13","18419"
"run.","5","18410"
"CSV","21","18407"
"overload","13","18400"
"metrics","11","18399"
"Typescript:","10","18397"
"signal","10","18379"
"thread","10","18362"
"gitlab","14","18346"
"""Times""","3","18322"
"Set","19","18306"
"pointer","13","18287"
"attempting","17","18266"
"Disable","15","18254"
"waiting","13","18219"
"Manager","14","18169"
"migration","18","18150"
"unhandled","9","18148"
"'compile'","3","18140"
"Platform","15","18140"
"OS","18","18137"
"APP","2","18132"
"define","19","18126"
"Airflow","18","18126"
"widget","20","18121"
"Test","18","18118"
"refused","19","18113"
"Security","23","18109"
"optimization","3","18087"
"alternative","9","18073"
"exceeded","15","18062"
"matched","4","18044"
"Python?","19","17961"
"Forbidden","17","17954"
"comes","5","17916"
"x86_64","9","17913"
"'keras.layers.normalization'","2","17913"
"linux","8","17910"
"affect","4","17897"
"workflow","16","17887"
"good","9","17877"
"Tab","10","17859"
"node-sass","7","17851"
"function,","12","17838"
"Input","21","17833"
"error.","15","17830"
"LateInitializationError:","5","17829"
"404","22","17815"
"cloud","21","17805"
"validate","23","17798"
"V6","10","17790"
"block","19","17775"
"Show","9","17775"
"Next.js?","14","17749"
"Run","22","17712"
"space","15","17693"
"offset","11","17689"
"'Adam'","1","17678"
"unnamed","7","17671"
"checking","5","17668"
"List","23","17665"
"term","12","17662"
"artisan","7","17656"
"calculate","15","17653"
"FirebaseError:","9","17638"
"Eslint","5","17629"
"CI","18","17620"
"close","16","17597"
"ui","20","17595"
"least","14","17578"
"'_registerMatType'","2","17562"
"'cv2.cv2'","2","17562"
"grid","19","17546"
"django","7","17531"
"11.2","3","17497"
"iOS15","17","17495"
"decode","18","17488"
"Switch'","1","17459"
"Minimum","8","17454"
"edit","11","17454"
"Conda","10","17452"
"Edge","14","17416"
"Login","18","17384"
"OpenCV(4.5.4-dev)","2","17375"
"Trust","6","17370"
"Redirect","12","17362"
"'exact'","1","17359"
"12.2.13","1","17353"
"^13.0.0,","1","17353"
"example","13","17346"
"insert","22","17343"
"Unicode","2","17338"
"stream","22","17326"
"where","19","17298"
"scrolling","17","17289"
"Powershell","14","17276"
"permissions","15","17257"
"'NoneType'","10","17217"
"tab","19","17213"
"colors","15","17208"
"3.9","9","17198"
"Playwright","16","17158"
"oAuth","1","17155"
"policy)","1","17155"
"DJANGO","1","17155"
"details","12","17139"
"Dlog4j2.formatMsgNoLookups=true","2","17134"
"We","7","17106"
"Private","13","17084"
"For","12","17075"
"registry","13","17066"
"'default'","6","17060"
"plot","19","17038"
"DevOps","20","17029"
"thrown","11","17022"
"'app',","3","17012"
"code=405","1","17000"
"domain=com.apple.CoreSimulator.SimError,","1","17000"
"Config","5","16991"
"middleware","18","16979"
"DataFrame","16","16964"
"despite","15","16964"
"next.config.js","4","16945"
"connecting","20","16927"
"react-hook-form","12","16890"
"Smart","11","16889"
"alert","7","16871"
"email","14","16865"
"storage","20","16856"
"Fix","11","16846"
"deployment","18","16816"
"sure","15","16810"
"duplicate","16","16789"
"symbol","17","16782"
"Attempted","11","16772"
"Link","8","16771"
"fetching","14","16752"
"nonzero","5","16734"
"filter","21","16733"
"Facebook","15","16721"
"secure","12","16716"
"terminated","14","16715"
"react-native-reanimated-65-jsc.aar","1","16711"
"corresponding","8","16707"
"threads","7","16706"
"development","11","16690"
"(setting","11","16679"
"Disabling","7","16659"
"bundle","12","16648"
"log4j2","8","16625"
"symlink","2","16609"
"snap","4","16608"
"intent","8","16606"
"pytorch","16","16601"
"characters","14","16582"
"frontend","8","16559"
"present","12","16527"
"sources","8","16526"
"COPY","5","16522"
"rows","23","16519"
"fields","21","16481"
"CA","8","16470"
"compiled","9","16470"
"psql:","5","16443"
"older","8","16434"
"impacted","3","16424"
"bottom","20","16424"
"broadcast","4","16399"
"case","11","16377"
"14.0","1","16371"
"'BatchNormalization'","1","16352"
"Notebook","12","16350"
"discord","19","16331"
"v13)","5","16325"
"mean?","12","16303"
"JVM?","1","16274"
"'E:\frontend\node_modules\@mui\styled-engine'","1","16267"
"transactions","10","16259"
"5?","9","16234"
"null""","2","16216"
"manager","15","16195"
"ubuntu","16","16190"
"17:","2","16189"
"Flutter?","11","16157"
"border","15","16136"
"jsconfig.json","2","16126"
"camera","10","16111"
"DateTime","4","16105"
"profile","15","16074"
"less","9","16074"
"fail","21","16025"
"imported","13","16004"
"Keycloak","15","15991"
"known","8","15991"
"New","14","15965"
"(with","7","15943"
"preview","12","15938"
"wrong","18","15932"
"Metamask","10","15920"
"excel","14","15913"
"Video","15","15889"
"'app')","2","15878"
"layout","19","15856"
"timeout","18","15848"
"'hotOnly'.","1","15818"
"NodeJS","14","15817"
"GPU","11","15816"
"1.21.2","1","15815"
"Only","10","15814"
"Key","19","15782"
"mongoose","5","15782"
"Event","8","15734"
"(version","8","15709"
"Host","5","15705"
"[python","2","15701"
"animation","21","15698"
"occurred:","8","15690"
"REST","23","15660"
"recognized...","1","15658"
"-error","1","15658"
"'gh'","1","15658"
"Read","14","15629"
"role","13","15626"
"created","20","15624"
"volume","14","15621"
"once","17","15598"
"helm","12","15598"
"nothing","7","15583"
"Array","14","15570"
"My","17","15556"
"happened,","1","15554"
"2021","9","15525"
"coming","8","15518"
"ASCII-8BIT","1","15499"
"Normalization","1","15499"
"React:","6","15489"
"GOROOT","3","15480"
"them","15","15471"
"minimum","8","15462"
"Webdriver","4","15460"
"Creating","11","15455"
"nginx","19","15453"
"TextEncoder","5","15446"
"Errors","11","15443"
"Job","8","15442"
"Anaconda","7","15426"
"keras","5","15414"
"Bundle","10","15412"
"Engine","16","15408"
"slf4j","3","15395"
"'error')","3","15388"
"libraries","8","15387"
"copy","13","15364"
"downgrade","10","15357"
"powershell","8","15344"
"doctor","4","15330"
"saving","9","15312"
"Datepicker","5","15286"
"'typing_extensions'","3","15254"
"bit","8","15252"
"clicking","10","15245"
"Incremental","1","15242"
"disabled:","1","15242"
"remark:","1","15242"
"ESM","4","15201"
"flow","11","15194"
"log4net?","1","15181"
"'XXXXXX'","1","15164"
"XXXXX","1","15164"
"C#?","6","15159"
"Poetry","16","15137"
"activity","11","15136"
"Android:","4","15135"
"Targeting","7","15131"
"retrieve","18","15125"
"parsing","15","15123"
"GMS","3","15113"
"Nodejs","10","15112"
"`create-react-app`","3","15107"
"Framer","8","15107"
"Tweepy","7","15102"
"C++?","11","15101"
"(CVE-2021-44228)","3","15087"
"next.js","13","15059"
"Cordova","9","15059"
"With","19","15058"
"invoke","17","15055"
"enabling","6","15048"
"numpy(pyproject.toml)","1","15012"
"3.10]","1","15012"
"Monterey?","5","14997"
"""main""","7","14971"
"Fixing","3","14964"
"Files","10","14953"
"Pydantic","14","14942"
"<Router>.","2","14923"
"Content","13","14923"
"stack:","1","14888"
"'webpack/lib/rules/DescriptionDataMatcherRulePlugin'","1","14888"
"Require","1","14888"
"numpy","11","14883"
"Strapi","13","14876"
"scipy","3","14875"
"branch","17","14851"
"maven","12","14848"
"Enterprise","6","14823"
"NFTs","7","14817"
"see","15","14804"
"shared","16","14796"
"PC","3","14793"
"every","20","14790"
"AttributeError","4","14787"
"items","16","14787"
"Arrow","4","14783"
"v2.5.0","1","14767"
"Compose:","14","14753"
"16","12","14719"
"terraform","15","14683"
"scikit-learn","3","14672"
"rendered","9","14669"
"iPhone","9","14665"
"suddenly","6","14664"
"pro","5","14656"
"Unit","16","14647"
"events","16","14643"
"RuntimeError:","13","14640"
"above","10","14609"
"Transaction","11","14606"
"DM","5","14598"
"localhost:3000/experiences","1","14572"
"WSL2","15","14572"
"members","11","14566"
"fit","10","14532"
"32","7","14532"
"arm64","8","14532"
"entry","14","14531"
"4.0.3,","2","14524"
"controller","16","14522"
"compatibility","7","14517"
"attach","8","14504"
"Pro","11","14489"
"LazyColumn","19","14459"
"Nest.js","9","14455"
"compute","5","14454"
"queue","7","14441"
"Intel","4","14428"
